variable,coefficient,p_value,ci_lower,ci_upper
Intercept,959.7760700981958,8.285025132133337e-14,718.2435077682904,1201.3086324281012
distance_to_bell_km,-133.65101530681903,6.56866382664008e-08,-181.15264392684222,-86.14938668679585
road_density_km_per_km2,10.653346089582573,0.0105514507316287,2.5058440943609277,18.80084808480422
