model,r_squared,adj_r_squared,aic,bic
Baseline: distance only,0.11242205887209888,0.10958634660012478,4804.324827331652,4811.829972609304
Road density,0.1308607450945597,0.1252893396143966,4799.7120390242835,4810.969756940761
Intersection density,0.1195688317193,0.1139250421790391,4803.778182411447,4815.0359003279245
Mean intersection degree,0.143941611931092,0.13845405816141954,4794.93513472516,4806.192852641638
Combined model,0.14931579589438693,0.1383392255188306,4796.951386793734,4815.714249987862
